
=================== Run: 2025-10-31 06:22:00.639239 ===================

🚀 Expert Supreme — 3-Fold Stratified CV
Supreme[fold 1] ✅ Using 2 GPUs
High[F1] Ep23 | loss=0.2392 | acc=0.6504 | f1=0.6471 | prec=0.6469 | rec=0.6474 | mcc=0.2943 | thr=0.47
High[F1] Ep24 | loss=0.2375 | acc=0.6511 | f1=0.6478 | prec=0.6476 | rec=0.6480 | mcc=0.2957 | thr=0.47
High[F1] Ep25 | loss=0.2373 | acc=0.6504 | f1=0.6475 | prec=0.6473 | rec=0.6480 | mcc=0.2953 | thr=0.47
High[F1] Ep26 | loss=0.2347 | acc=0.6502 | f1=0.6475 | prec=0.6473 | rec=0.6481 | mcc=0.2954 | thr=0.47
High[F1] Ep27 | loss=0.2349 | acc=0.6496 | f1=0.6472 | prec=0.6470 | rec=0.6481 | mcc=0.2951 | thr=0.47
High[F1] Ep28 | loss=0.2340 | acc=0.6499 | f1=0.6478 | prec=0.6476 | rec=0.6487 | mcc=0.2963 | thr=0.47
High[F1] Ep29 | loss=0.2329 | acc=0.6502 | f1=0.6478 | prec=0.6476 | rec=0.6487 | mcc=0.2963 | thr=0.47
High[F1] Ep30 | loss=0.2334 | acc=0.6501 | f1=0.6477 | prec=0.6475 | rec=0.6485 | mcc=0.2959 | thr=0.47
⚠️  SWA eval skipped for high[F1]: 'dict' object has no attribute 'to'
🏁 High[F1] Best Ep29 | Acc=0.6502 | F1=0.6478
High[fold 2] ✅ Using 2 GPUs
High[F2] Ep01 | loss=0.3411 | acc=0.5252 | f1=0.5223 | prec=0.5225 | rec=0.5227 | mcc=0.0452 | thr=0.32
High[F2] Ep02 | loss=0.3016 | acc=0.5412 | f1=0.5351 | prec=0.5352 | rec=0.5351 | mcc=0.0703 | thr=0.37
High[F2] Ep03 | loss=0.2898 | acc=0.5777 | f1=0.5689 | prec=0.5706 | rec=0.5690 | mcc=0.1396 | thr=0.39
High[F2] Ep04 | loss=0.2821 | acc=0.5904 | f1=0.5897 | prec=0.5916 | rec=0.5926 | mcc=0.1842 | thr=0.41
High[F2] Ep05 | loss=0.2783 | acc=0.6020 | f1=0.5987 | prec=0.5986 | rec=0.5991 | mcc=0.1977 | thr=0.42
High[F2] Ep06 | loss=0.2738 | acc=0.6101 | f1=0.6067 | prec=0.6066 | rec=0.6070 | mcc=0.2136 | thr=0.43
High[F2] Ep07 | loss=0.2710 | acc=0.6220 | f1=0.6148 | prec=0.6165 | rec=0.6144 | mcc=0.2310 | thr=0.44
High[F2] Ep08 | loss=0.2684 | acc=0.6226 | f1=0.6193 | prec=0.6191 | rec=0.6195 | mcc=0.2386 | thr=0.45
High[F2] Ep09 | loss=0.2658 | acc=0.6278 | f1=0.6217 | prec=0.6228 | rec=0.6213 | mcc=0.2441 | thr=0.46
High[F2] Ep10 | loss=0.2639 | acc=0.6289 | f1=0.6251 | prec=0.6250 | rec=0.6251 | mcc=0.2502 | thr=0.46
High[F2] Ep11 | loss=0.2616 | acc=0.6315 | f1=0.6284 | prec=0.6282 | rec=0.6288 | mcc=0.2570 | thr=0.46
High[F2] Ep12 | loss=0.2604 | acc=0.6318 | f1=0.6300 | prec=0.6302 | rec=0.6315 | mcc=0.2616 | thr=0.46
High[F2] Ep13 | loss=0.2580 | acc=0.6364 | f1=0.6329 | prec=0.6328 | rec=0.6331 | mcc=0.2659 | thr=0.46
High[F2] Ep14 | loss=0.2562 | acc=0.6411 | f1=0.6346 | prec=0.6363 | rec=0.6341 | mcc=0.2704 | thr=0.47
High[F2] Ep15 | loss=0.2553 | acc=0.6415 | f1=0.6359 | prec=0.6369 | rec=0.6355 | mcc=0.2724 | thr=0.47
High[F2] Ep16 | loss=0.2532 | acc=0.6398 | f1=0.6372 | prec=0.6370 | rec=0.6378 | mcc=0.2748 | thr=0.46
High[F2] Ep17 | loss=0.2518 | acc=0.6398 | f1=0.6376 | prec=0.6375 | rec=0.6386 | mcc=0.2760 | thr=0.46
High[F2] Ep18 | loss=0.2488 | acc=0.6409 | f1=0.6393 | prec=0.6395 | rec=0.6409 | mcc=0.2804 | thr=0.46
High[F2] Ep19 | loss=0.2471 | acc=0.6412 | f1=0.6400 | prec=0.6405 | rec=0.6420 | mcc=0.2825 | thr=0.46
High[F2] Ep20 | loss=0.2439 | acc=0.6420 | f1=0.6408 | prec=0.6414 | rec=0.6429 | mcc=0.2843 | thr=0.46
High[F2] Ep21 | loss=0.2439 | acc=0.6426 | f1=0.6411 | prec=0.6413 | rec=0.6427 | mcc=0.2840 | thr=0.46
High[F2] Ep22 | loss=0.2428 | acc=0.6457 | f1=0.6426 | prec=0.6424 | rec=0.6429 | mcc=0.2852 | thr=0.47
High[F2] Ep23 | loss=0.2411 | acc=0.6458 | f1=0.6433 | prec=0.6430 | rec=0.6440 | mcc=0.2870 | thr=0.47
High[F2] Ep24 | loss=0.2391 | acc=0.6459 | f1=0.6430 | prec=0.6428 | rec=0.6435 | mcc=0.2863 | thr=0.47
High[F2] Ep25 | loss=0.2366 | acc=0.6459 | f1=0.6431 | prec=0.6429 | rec=0.6436 | mcc=0.2865 | thr=0.47
High[F2] Ep26 | loss=0.2363 | acc=0.6453 | f1=0.6431 | prec=0.6429 | rec=0.6440 | mcc=0.2869 | thr=0.47
High[F2] Ep27 | loss=0.2357 | acc=0.6436 | f1=0.6428 | prec=0.6443 | rec=0.6459 | mcc=0.2902 | thr=0.46
High[F2] Ep28 | loss=0.2346 | acc=0.6458 | f1=0.6434 | prec=0.6431 | rec=0.6442 | mcc=0.2873 | thr=0.47
High[F2] Ep29 | loss=0.2332 | acc=0.6454 | f1=0.6430 | prec=0.6427 | rec=0.6437 | mcc=0.2865 | thr=0.47
High[F2] Ep30 | loss=0.2337 | acc=0.6457 | f1=0.6434 | prec=0.6432 | rec=0.6442 | mcc=0.2874 | thr=0.47
⚠️  SWA eval skipped for high[F2]: 'dict' object has no attribute 'to'
🏁 High[F2] Best Ep30 | Acc=0.6457 | F1=0.6434
High[fold 3] ✅ Using 2 GPUs
High[F3] Ep01 | loss=0.3474 | acc=0.5294 | f1=0.5278 | prec=0.5287 | rec=0.5290 | mcc=0.0577 | thr=0.39
High[F3] Ep02 | loss=0.3069 | acc=0.5740 | f1=0.5585 | prec=0.5648 | rec=0.5606 | mcc=0.1253 | thr=0.40
High[F3] Ep03 | loss=0.2915 | acc=0.5691 | f1=0.5681 | prec=0.5696 | rec=0.5704 | mcc=0.1400 | thr=0.43
High[F3] Ep04 | loss=0.2829 | acc=0.5931 | f1=0.5904 | prec=0.5904 | rec=0.5911 | mcc=0.1815 | thr=0.44
High[F3] Ep05 | loss=0.2781 | acc=0.6067 | f1=0.6034 | prec=0.6032 | rec=0.6037 | mcc=0.2070 | thr=0.44
High[F3] Ep06 | loss=0.2740 | acc=0.6129 | f1=0.6100 | prec=0.6098 | rec=0.6105 | mcc=0.2203 | thr=0.44
High[F3] Ep07 | loss=0.2714 | acc=0.6212 | f1=0.6159 | prec=0.6164 | rec=0.6157 | mcc=0.2321 | thr=0.45
High[F3] Ep08 | loss=0.2679 | acc=0.6235 | f1=0.6203 | prec=0.6202 | rec=0.6207 | mcc=0.2409 | thr=0.45
High[F3] Ep09 | loss=0.2676 | acc=0.6325 | f1=0.6240 | prec=0.6273 | rec=0.6236 | mcc=0.2509 | thr=0.46
High[F3] Ep10 | loss=0.2649 | acc=0.6341 | f1=0.6278 | prec=0.6291 | rec=0.6274 | mcc=0.2565 | thr=0.46
High[F3] Ep11 | loss=0.2641 | acc=0.6314 | f1=0.6286 | prec=0.6284 | rec=0.6291 | mcc=0.2574 | thr=0.46
High[F3] Ep12 | loss=0.2595 | acc=0.6374 | f1=0.6323 | prec=0.6329 | rec=0.6319 | mcc=0.2648 | thr=0.46
High[F3] Ep13 | loss=0.2592 | acc=0.6376 | f1=0.6338 | prec=0.6338 | rec=0.6339 | mcc=0.2676 | thr=0.46
High[F3] Ep14 | loss=0.2578 | acc=0.6410 | f1=0.6365 | prec=0.6368 | rec=0.6362 | mcc=0.2730 | thr=0.46
High[F3] Ep15 | loss=0.2569 | acc=0.6415 | f1=0.6374 | prec=0.6375 | rec=0.6373 | mcc=0.2748 | thr=0.46
High[F3] Ep16 | loss=0.2538 | acc=0.6416 | f1=0.6388 | prec=0.6386 | rec=0.6394 | mcc=0.2780 | thr=0.46
High[F3] Ep17 | loss=0.2513 | acc=0.6446 | f1=0.6410 | prec=0.6409 | rec=0.6411 | mcc=0.2820 | thr=0.46
High[F3] Ep18 | loss=0.2499 | acc=0.6450 | f1=0.6425 | prec=0.6422 | rec=0.6432 | mcc=0.2854 | thr=0.46
High[F3] Ep19 | loss=0.2467 | acc=0.6461 | f1=0.6434 | prec=0.6431 | rec=0.6440 | mcc=0.2871 | thr=0.46
High[F3] Ep20 | loss=0.2464 | acc=0.6462 | f1=0.6436 | prec=0.6434 | rec=0.6442 | mcc=0.2876 | thr=0.46
High[F3] Ep21 | loss=0.2438 | acc=0.6487 | f1=0.6445 | prec=0.6447 | rec=0.6443 | mcc=0.2890 | thr=0.47
High[F3] Ep22 | loss=0.2424 | acc=0.6472 | f1=0.6449 | prec=0.6447 | rec=0.6459 | mcc=0.2906 | thr=0.46
High[F3] Ep23 | loss=0.2404 | acc=0.6506 | f1=0.6458 | prec=0.6463 | rec=0.6455 | mcc=0.2918 | thr=0.47
High[F3] Ep24 | loss=0.2379 | acc=0.6472 | f1=0.6454 | prec=0.6454 | rec=0.6468 | mcc=0.2923 | thr=0.46
High[F3] Ep25 | loss=0.2366 | acc=0.6473 | f1=0.6455 | prec=0.6455 | rec=0.6468 | mcc=0.2923 | thr=0.46
